trajectory,method,psnr,ssim,lpips,raw_depth_abs_rel,raw_depth_rmse,raw_depth_delta1,median_aligned_depth_abs_rel,median_aligned_depth_rmse,median_aligned_depth_delta1,geometry_accuracy_mean_m,geometry_completeness_mean_m,geometry_chamfer_l1_mean_m,geometry_precision_05cm,geometry_recall_05cm,geometry_fscore_05cm,geometry_precision_10cm,geometry_recall_10cm,geometry_fscore_10cm
kt0,random,17.04471206665039,0.734016478061676,0.6429137587547302,0.5982552319765091,1.2889931912376762,0.0971505,0.755390003323555,2.1757131115352175,0.2357215,0.25222576637534344,0.05432265314771109,0.15327420976152728,0.23953232283974607,0.6164327817839084,0.34500372806713,0.3655978753724576,0.8584722180664851,0.5128066124214044
kt0,trajectory,18.537723541259766,0.7393245100975037,0.60792076587677,0.518613138794899,1.12232648898875,0.142112,0.5017799437046051,1.385841480993357,0.30989825,0.22875534955657212,0.06340364252729681,0.14607949604193446,0.2872914413827854,0.6231531073277281,0.3932728350340602,0.4243244314353815,0.8097304090242662,0.5568446136432389
kt0,pose,19.170799255371094,0.7870867252349854,0.5842219591140747,0.5262530684471131,1.2470884487453713,0.1947925,0.7373683422803878,2.2602424838223034,0.23302975,0.3276446397367363,0.07743717556876188,0.2025409076527491,0.2902177445563861,0.6186050686693995,0.39508288125636964,0.40360981716197836,0.777894138415966,0.5314678964809108
kt0,active,18.33452606201172,0.7719599008560181,0.5997909307479858,0.5573405116796494,1.2999008101390725,0.1822865,0.7867197066545486,2.5446821572887024,0.2240975,0.31304375767859277,0.05624418765077385,0.1846439726646833,0.2832135447540012,0.608671194757787,0.38656099610218175,0.3943761114404268,0.826791538254391,0.5340246802477988
kt1,random,14.89007568359375,0.6346472501754761,0.701386034488678,0.4425316140055656,1.3336029738322503,0.2140385,0.4432135418057442,1.4696564314146867,0.3846485,0.44139833247076615,0.2209228384471496,0.3311605854589579,0.16543376373663057,0.33915206419338145,0.22238913323717335,0.23296524281956443,0.5253718552977903,0.32279412979760114
kt1,trajectory,15.640657424926758,0.6346927881240845,0.6910046339035034,0.45799550563097,1.3637376975700661,0.17072375,0.4038390383124352,1.3454768443978598,0.41128225,0.42448338924431595,0.2952251734216964,0.3598542813330062,0.17776925867864207,0.3599804125604456,0.2380046125634921,0.23834005353341045,0.5048328668332341,0.3238059116769143
kt1,pose,14.957805633544922,0.6241382360458374,0.682385265827179,0.38369569182395935,1.2096452009543595,0.307079,0.4275858670473099,1.3964798045592597,0.32303825,0.4513649808852302,0.22055428905388402,0.3359596349695571,0.1620127551648568,0.4013867016866344,0.23084781014947828,0.22671197458816578,0.5564390925228289,0.3221636557791177
kt1,active,14.807413101196289,0.6267808675765991,0.6969828605651855,0.42012026757001875,1.2750406570741566,0.2351265,0.3918430954217911,1.3175179109430102,0.40522925,0.44029712013637,0.2203151578953412,0.3303061390158556,0.16349522655934565,0.3683551558926475,0.22647087095930618,0.2281418096093984,0.5301629875297011,0.31900719557432544
kt2,random,12.629369735717773,0.49337509274482727,0.6835992932319641,0.5264625281095505,2.0447616717687875,0.15581275,0.5320798814296722,2.6468350282853934,0.32994275,0.4850765207543854,0.14601857525391626,0.31554754800415086,0.10302919919530429,0.38493058588555135,0.16255064954992587,0.16142345042263082,0.5695147146145051,0.2515480370213329
kt2,trajectory,13.559643745422363,0.5550356507301331,0.6323023438453674,0.5614507853984833,2.1086606164429047,0.12232875,0.6079072505235672,3.1278885225438087,0.278123,0.5123283495052716,0.2118757551806077,0.3621020523429397,0.0816398109290821,0.32767682319398167,0.13071285973369906,0.1283855154384806,0.49418727334291895,0.20382030488501018
kt2,pose,13.68310260772705,0.5497009754180908,0.6330150365829468,0.5062468498945236,1.9244923113593233,0.160398,0.5068457394838333,2.4839572945147204,0.285002,0.5205859736793957,0.17595351753663058,0.34826974560801316,0.08309946925750421,0.3422810228828572,0.13373143274795837,0.13201644507087024,0.5224289296633085,0.21077147997063453
kt2,active,12.874373435974121,0.5564166903495789,0.6467547416687012,0.5980256140232086,2.234612762680107,0.063993,0.472774638235569,2.2874880671897393,0.32112475,0.5765390633525335,0.21767038388945273,0.3971047236209931,0.05072029786858684,0.2360668770273387,0.08350012390950741,0.08042358992929335,0.4200768487120725,0.13500123321097646
kt3,random,16.720714569091797,0.6920176148414612,0.7053729295730591,0.6936000317335129,1.767323673063818,0.04192225,0.6389354333281517,3.5400143742818617,0.2984185,0.48111690088707787,0.13310507336546537,0.3071109871262716,0.11458369667585197,0.40150550783325145,0.1782869508654397,0.16016603299731416,0.5864965369310493,0.25161787257106366
kt3,trajectory,16.957422256469727,0.7051032185554504,0.6951792240142822,0.7218478173017502,1.785221203770997,0.036676,0.7775337651371956,3.232549460822731,0.2355525,0.4856701280564688,0.12093860697121508,0.30330436751384193,0.10770347171829049,0.4687020758366995,0.1751573730798143,0.15146596392061007,0.6120460673368949,0.2428361145804542
kt3,pose,17.269603729248047,0.700916051864624,0.6677052974700928,0.6783753246068954,1.6765616804544985,0.052363,0.7943966642022133,3.0550320696737083,0.19862025,0.4458051047738478,0.15090507053717395,0.2983550876555109,0.13571912933514976,0.4621167319855263,0.20981705706890919,0.18676652961983248,0.6092295047460583,0.2858900683696831
kt3,active,17.222644805908203,0.6905660033226013,0.6916734576225281,0.6906565219163895,1.756325635379066,0.04746025,0.674072551727295,2.254214813063636,0.2293615,0.49868648761981427,0.13334575739214952,0.3160161225059819,0.12244166280327616,0.4080708049755931,0.18836453782839138,0.16725081131200742,0.5509737688814939,0.2566072295443785
